onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	3	1	3.02	2.98	6	12	18.02	3.54	21.63	3.39	0	0	0	3	2	Imagine that you will be diagnosed with a rare disease
36.57	33.5	3	2	36.57	2.43	39	12	51.02	1.42	52.51	2.39	0	0	1	3	4	Imagine that you will file for bankruptcy
70.11	33.5	3	3	70.11	1.88	72	12	84.02	6.58	90.66	2.92	1	1	1	6	5	Imagine that you will buy a car
103.66	33.5	3	4	103.66	1.33	105.01	12	117.03	3.74	120.84	2.44	1	0	1	3	5	Imagine that there will be an infestation of bugs in your home
137.21	33.5	3	5	137.21	0.78	138.01	12	150.03	3.52	153.62	2.5	0	0	0	3	3	Imagine that you will catch one of your good friends stealing
170.76	33.5	3	6	170.76	0.24	171.01	12	183.03	5.44	188.54	3.17	1	0	0	3	3	Imagine that there will be a natural disaster where you live
204.31	33.5	3	7	204.31	2.69	207	12	219.01	3.62	222.7	2.24	1	1	0	6	5	Imagine that you will see your favorite band in concert
237.86	33.5	3	8	237.86	2.14	240.01	12	252.03	4.91	257	5.41	0	1	1	5	4	Imagine that you will fulfill a promise to your friend
271.41	33.5	3	9	271.41	1.59	273.01	12	285.03	2.99	288.08	3.62	0	1	0	6	5	Imagine that you will cultivate lasting friendships at work
304.95	33.5	3	10	304.95	1.04	306.01	12	318.02	2.6	320.69	1.69	0	1	0	5	6	Imagine that you will get good medical coverage at work
338.5	33.5	3	11	338.5	0.49	339	12	351.02	3.84	354.93	1.8	0	1	1	5	3	Imagine that you will achieve a strong sense of self-worth
372.05	33.5	3	12	372.05	2.94	375.01	12	387.02	2.09	389.18	2.32	1	1	1	6	6	Imagine that you will find your dream job that pays well with good hours
405.6	33.5	3	13	405.6	2.39	408	12	420.02	2.95	423.04	2.52	1	1	0	6	4	Imagine that you will go on a romantic getaway with your significant other
439.15	33.5	3	14	439.15	1.85	441	12	453.02	3.64	456.72	2.5	1	0	1	3	5	Imagine that you will encounter a crawling insect in your bedroom
472.7	33.5	3	15	472.7	1.3	474	12	486.02	3.47	489.55	2.12	0	0	1	2	2	Imagine that you will get blamed for a hazardous accident
506.25	33.5	3	16	506.25	0.75	507	12	519.01	2.67	521.75	2.65	1	0	0	3	5	Imagine that you will get food poisoning
